OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,LATITUDE,LONGITUDE,LAT,LON,x,y
5263,19102,PHILADELPHIA,PA,39.95049122,-75.16584594,39.95049,-75.16585,-8367423.89969167,4858750.6425768
5264,19103,PHILADELPHIA,PA,39.952258867,-75.17356364,39.95226,-75.17356,-8368282.54232376,4859007.12012835
5265,19104,PHILADELPHIA,PA,39.959711786,-75.20128109,39.95971,-75.20128,-8371368.05043989,4860089.60574334
5266,19106,PHILADELPHIA,PA,39.949498508,-75.14659381,39.9495,-75.14659,-8365280.26578713,4858606.06528917
5267,19107,PHILADELPHIA,PA,39.949972691,-75.15923319,39.94997,-75.15923,-8366687.55632571,4858675.30699866
5270,19111,PHILADELPHIA,PA,40.058884982,-75.07971764,40.05888,-75.07972,-8357836.14842854,4874502.78665068
5271,19114,PHILADELPHIA,PA,40.063584487,-75.00013923,40.06358,-75.00014,-8348977.09688987,4875186.34865122
5272,19115,PHILADELPHIA,PA,40.089662945,-75.03913975,40.08966,-75.03914,-8353318.72011385,4878980.64212499
5273,19116,PHILADELPHIA,PA,40.117819926,-75.01889333,40.11782,-75.01889,-8351064.67708932,4883078.46885223
5274,19118,PHILADELPHIA,PA,40.072961926,-75.202704,40.07296,-75.20271,-8371526.86951213,4876550.83952632
5275,19119,PHILADELPHIA,PA,40.054854929,-75.18657393,40.05486,-75.18658,-8369731.44865209,4873916.91392964
5276,19120,PHILADELPHIA,PA,40.034895581,-75.12028776,40.0349,-75.12029,-8362351.87823044,4871014.69138018
5277,19121,PHILADELPHIA,PA,39.980680857,-75.17244916,39.98068,-75.17245,-8368158.54454484,4863135.49155235
5278,19122,PHILADELPHIA,PA,39.977019162,-75.1444737,39.97702,-75.14447,-8365044.16026411,4862603.48859008
5279,19123,PHILADELPHIA,PA,39.965103021,-75.14763226,39.9651,-75.14763,-8365395.77055682,4860872.45930241
5280,19124,PHILADELPHIA,PA,40.017994096,-75.08854156,40.01799,-75.08854,-8358817.93969448,4868557.45257238
5281,19125,PHILADELPHIA,PA,39.978242483,-75.12671676,39.97824,-75.12672,-8363067.83844104,4862780.819743
5282,19126,PHILADELPHIA,PA,40.055732591,-75.13955456,40.05573,-75.13956,-8364497.21087041,4874044.5157895
5283,19127,PHILADELPHIA,PA,40.027214236,-75.22389079,40.02721,-75.22389,-8373885.37652793,4869897.73951114
5284,19128,PHILADELPHIA,PA,40.040333726,-75.2235528,40.04033,-75.22356,-8373848.00735411,4871805.06336653
5285,19129,PHILADELPHIA,PA,40.011832045,-75.1886272,40.01183,-75.18863,-8369959.91042228,4867661.99559856
5286,19130,PHILADELPHIA,PA,39.966834972,-75.17145184,39.96684,-75.17146,-8368048.13542484,4861124.00504484
5287,19131,PHILADELPHIA,PA,39.987397,-75.22605048,39.9874,-75.22605,-8374125.72855557,4864110.9044488
5288,19132,PHILADELPHIA,PA,39.995963032,-75.16935792,39.99596,-75.16936,-8367814.57789364,4865355.80357992
5289,19133,PHILADELPHIA,PA,39.992716286,-75.14137787,39.99272,-75.14138,-8364700.19361291,4864884.09818524
5290,19134,PHILADELPHIA,PA,39.992185842,-75.11176628,39.99219,-75.11176,-8361403.20974504,4864807.05323278
5291,19135,PHILADELPHIA,PA,40.025162472,-75.05109249,40.02516,-75.05109,-8354649.57368068,4869599.38939565
5292,19136,PHILADELPHIA,PA,40.043270846,-75.02645651,40.04327,-75.02646,-8351907.18295934,4872232.16784844
5293,19137,PHILADELPHIA,PA,40.000953082,-75.07292819,40.00095,-75.07293,-8357080.27116362,4866080.86577764
5294,19138,PHILADELPHIA,PA,40.056900188,-75.15711388,40.0569,-75.15711,-8366451.450914,4874214.28430797
5295,19139,PHILADELPHIA,PA,39.961053228,-75.22989775,39.96105,-75.2299,-8374553.77582005,4860284.0668362
5296,19140,PHILADELPHIA,PA,40.012151847,-75.14614364,40.01215,-75.14614,-8365230.15698815,4867708.56837542
5297,19141,PHILADELPHIA,PA,40.03820604,-75.14491364,40.0382,-75.14491,-8365093.41969538,4871495.56280711
5298,19142,PHILADELPHIA,PA,39.922379199,-75.23291052,39.92238,-75.23291,-8374889.24946201,4854668.9434116
5299,19143,PHILADELPHIA,PA,39.945080223,-75.2276984,39.94508,-75.2277,-8374309.17739911,4857964.63274338
5300,19144,PHILADELPHIA,PA,40.032764569,-75.17534192,40.03276,-75.17534,-8368480.42930525,4870704.6608393
5301,19145,PHILADELPHIA,PA,39.923354179,-75.1805897,39.92336,-75.18059,-8369064.74798408,4854810.69488864
5302,19146,PHILADELPHIA,PA,39.939065686,-75.17834013,39.93906,-75.17834,-8368814.2043231,4857091.17698161
5303,19147,PHILADELPHIA,PA,39.937038801,-75.15575907,39.93704,-75.15576,-8366301.12473968,4856797.08836651
5304,19148,PHILADELPHIA,PA,39.921477851,-75.1597096,39.92148,-75.15971,-8366740.2130052,4854538.26806193
5305,19149,PHILADELPHIA,PA,40.037276645,-75.06565676,40.03728,-75.06566,-8356270.88796281,4871360.78338385
5306,19150,PHILADELPHIA,PA,40.072908227,-75.17095744,40.07291,-75.17096,-8367992.93097616,4876542.51542851
5307,19151,PHILADELPHIA,PA,39.976417613,-75.25165559,39.97642,-75.25166,-8376975.98040508,4862515.93251689
5308,19152,PHILADELPHIA,PA,40.061073152,-75.04676556,40.06107,-75.04677,-8354168.020369,4874821.25850319
5309,19153,PHILADELPHIA,PA,39.905792466,-75.24401897,39.90579,-75.24402,-8376125.83078223,4852261.69304882
5310,19154,PHILADELPHIA,PA,40.090084539,-74.97785094,40.09008,-74.97785,-8346496.29071925,4879041.70016434
5311,19112,PHILADELPHIA,PA,,,	39.89, -75.16,